영화인명,영화인 코드,분야,필모리스트
브라이언 싱어,10031865,감독,보헤미안 랩소디|엑스맨: 아포칼립스|엑스맨: 데이즈 오브 퓨처 패스트|잭 더 자이언트 킬러|작전명 발키리|수퍼맨 리턴즈|엑스맨 2|엑스맨|죽음보다 무서운 비밀|유주얼 서스펙트
일라이 로스,10058386,감독,벽 속에 숨은 마법시계|데스 위시|그린 인페르노|노크 노크|애프터쇼크|그라인드 하우스|호스텔 2|호스텔|캐빈 피버
데이빗 고든 그린,10011631,감독,할로윈|스트롱거|맹글혼|조|프린스 아발란체|더 시터|유어 하이니스|파인애플 익스프레스|스노우 엔젤스|올 더 리얼 걸스|언더토우|조지 워싱턴
임진순,10058831,감독,동네사람들|슈퍼스타|해적 디스코왕 되다|일월영측|원격조정
앤드류 하얏트,10046021,감독,바울
아리 산델,10045012,감독,구스범스: 몬스터의 역습|퀸카가 아니어도 좋아|와일드 웨스트 코미디 쇼
데이빗 예이츠,20100014,감독,신비한 동물들과 그린델왈드의 범죄|신비한 동물사전|레전드 오브 타잔|해리포터와 죽음의 성물2|해리 포터와 죽음의 성물1|해리 포터와 혼혈 왕자|해리 포터와 불사조 기사단|카페의 소녀
우시지마 신이치로,20311469,감독,너의 췌장을 먹고 싶어
라세 할스트롬,10013865,감독,호두까기 인형과 4개의 왕국|베일리 어게인|로맨틱 레시피|세이프 헤이븐|최면 전문의|사막에서 연어낚시|디어 존|하치 이야기|혹스: 욕망의 법칙|카사노바|언피니쉬드 라이프|쉬핑 뉴스|초콜릿|사이더 하우스|줄리아 로버츠의 사랑게임|길버트 그레이프|아바
제이슨 라이트맨,10063620,감독,"고스트버스터즈 2020|툴리|멘, 우먼 & 칠드런|레이버 데이|영 어덜트|인 디 에어|주노|흡연, 감사합니다"
최국희,10072117,감독,"국가부도의 날|스플릿|8월의 일요일들|극장전|그날 밤의 축제|삶은 전진하고|청춘, 외대앞|블루 디코딩"
오토 바서스트,10009928,감독,후드
페드 알바레즈,20178840,감독,거미줄에 걸린 소녀|맨 인 더 다크|이블 데드
빅터 아즈에프,10032981,감독,투 프렌즈
